Local_Time,SRGLOAVG1H,TAMAX1H,TAMIN1H,RHMAX1H,RHMIN1H,PRSUM1H,PAAVG1H,PAMAX1H,PAMIN1H,WS1HA,WS1HX,WD1HA
2015-01-01 01:00:00,0.0,9.7,8.1,99.0,94.0,0.0,743.2,743.6,742.8,1.0,2.9,65
2015-01-01 02:00:00,0.0,9.8,9.1,97.0,94.0,0.0,742.6,742.8,742.4,1.8,3.0,43
2015-01-01 03:00:00,0.0,10.1,9.7,95.0,93.0,0.0,742.1,742.4,741.9,1.9,2.9,47
2015-01-01 04:00:00,0.0,10.3,9.7,96.0,93.0,0.0,741.8,741.9,741.7,1.5,2.7,44
2015-01-01 05:00:00,0.0,10.0,9.0,98.0,94.0,0.0,741.8,741.9,741.7,1.4,2.6,50
2015-01-01 06:00:00,0.0,10.2,8.7,98.0,93.0,0.0,742.2,742.6,741.9,1.9,3.6,55
2015-01-01 07:00:00,15.0,10.7,9.1,97.0,91.0,0.0,742.8,743.1,742.6,2.4,3.9,54
2015-01-01 08:00:00,107.0,12.2,9.5,96.0,89.0,0.0,743.5,743.7,743.1,2.5,4.6,42
2015-01-01 09:00:00,394.0,15.1,12.2,89.0,76.0,0.0,743.8,743.9,743.7,3.3,5.8,59
2015-01-01 10:00:00,728.0,18.1,15.1,79.0,57.0,0.0,743.7,743.9,743.4,4.4,8.4,40
2015-01-01 11:00:00,428.0,18.4,16.7,66.0,58.0,0.0,743.2,743.4,742.8,4.0,8.1,35
2015-01-01 12:00:00,403.0,18.5,17.2,65.0,55.0,0.0,742.6,742.9,742.3,3.5,7.6,34
2015-01-01 13:00:00,709.0,20.1,18.2,61.0,47.0,0.0,741.8,742.3,741.4,2.8,8.1,50
2015-01-01 14:00:00,397.0,19.7,18.4,57.0,49.0,0.0,741.0,741.4,740.6,3.2,8.1,59
2015-01-01 15:00:00,594.0,20.7,18.5,58.0,48.0,0.0,740.1,740.7,739.8,2.2,7.6,62
2015-01-01 16:00:00,308.0,20.6,15.5,87.0,50.0,0.0,739.6,739.8,739.5,0.9,8.5,287
2015-01-01 17:00:00,136.0,15.5,14.0,95.0,86.0,0.0,739.9,740.1,739.7,4.9,9.0,236
2015-01-01 18:00:00,35.0,14.0,13.2,99.0,95.0,0.0,740.3,740.6,740.0,4.0,8.1,238
2015-01-01 19:00:00,3.0,13.3,12.9,100.0,99.0,0.0,741.0,741.3,740.6,2.2,6.3,239
2015-01-01 20:00:00,0.0,12.9,12.2,100.0,100.0,0.0,741.7,742.1,741.3,0.1,2.4,3
2015-01-01 21:00:00,0.0,12.8,12.2,100.0,99.0,0.0,742.6,742.8,742.1,1.7,3.2,49
2015-01-01 22:00:00,0.0,12.3,10.2,100.0,99.0,0.0,743.2,743.4,742.8,2.0,4.7,49
2015-01-01 23:00:00,0.0,10.3,9.2,100.0,99.0,0.0,743.3,743.4,743.2,1.2,2.5,51
2015-01-02 00:00:00,0.0,10.6,9.8,99.0,93.0,0.0,743.1,743.3,742.9,1.4,2.6,60
2015-01-02 01:00:00,0.0,11.0,10.4,97.0,90.0,0.0,742.7,742.9,742.5,1.9,3.8,58
2015-01-02 02:00:00,0.0,11.2,10.7,93.0,89.0,0.0,742.2,742.5,741.9,3.3,5.0,45
2015-01-02 03:00:00,0.0,11.2,9.5,96.0,89.0,0.0,741.8,741.9,741.6,2.7,4.5,38
2015-01-02 04:00:00,0.0,11.7,9.9,94.0,88.0,0.0,741.5,741.7,741.4,3.4,5.4,40
2015-01-02 05:00:00,0.0,11.7,10.8,91.0,87.0,0.0,741.7,741.8,741.5,3.1,5.9,39
2015-01-02 06:00:00,0.0,10.8,9.9,93.0,90.0,0.0,742.0,742.3,741.8,2.9,4.7,34
2015-01-02 07:00:00,19.0,11.0,9.8,92.0,90.0,0.0,742.6,743.0,742.4,3.3,5.0,42
2015-01-02 08:00:00,97.0,13.1,11.0,90.0,80.0,0.0,743.4,743.6,743.0,2.8,5.1,53
2015-01-02 09:00:00,118.0,13.8,13.1,82.0,71.0,0.0,743.7,743.8,743.6,2.6,7.8,33
2015-01-02 10:00:00,227.0,15.2,13.8,73.0,64.0,0.0,743.6,743.6,743.4,3.6,9.7,25
2015-01-02 11:00:00,408.0,16.6,15.0,66.0,53.0,0.0,743.4,743.5,743.1,5.3,12.4,35
2015-01-02 12:00:00,674.0,18.1,16.4,57.0,50.0,0.0,743.0,743.2,742.7,5.4,10.9,63
2015-01-02 13:00:00,459.0,17.7,16.2,61.0,53.0,0.0,742.4,742.8,742.1,6.1,12.2,36
2015-01-02 14:00:00,377.0,16.9,16.2,63.0,57.0,0.0,741.7,742.1,741.4,6.4,11.9,34
2015-01-02 15:00:00,302.0,16.8,15.7,64.0,59.0,0.0,741.2,741.4,740.8,5.9,11.2,34
2015-01-02 16:00:00,310.0,17.2,15.9,64.0,58.0,0.0,740.6,740.9,740.3,6.3,11.6,39
2015-01-02 17:00:00,298.0,17.9,16.4,62.0,55.0,0.0,740.3,740.4,740.2,5.3,10.2,39
2015-01-02 18:00:00,63.0,16.9,15.6,65.0,59.0,0.0,740.5,740.8,740.1,5.4,9.2,39
2015-01-02 19:00:00,3.0,15.7,14.6,70.0,64.0,0.0,741.0,741.3,740.8,3.6,8.2,38
2015-01-02 20:00:00,0.0,15.0,13.9,75.0,67.0,0.0,741.6,741.9,741.3,2.7,4.9,42
2015-01-02 21:00:00,0.0,14.1,13.2,79.0,73.0,0.0,742.1,742.4,741.8,3.1,5.6,48
2015-01-02 22:00:00,0.0,14.0,13.6,77.0,74.0,0.0,742.5,742.6,742.4,3.4,6.3,51
2015-01-02 23:00:00,0.0,13.8,13.2,79.0,75.0,0.0,742.6,742.7,742.5,3.9,7.0,42
2015-01-03 00:00:00,0.0,13.4,12.4,82.0,78.0,0.0,742.3,742.5,742.2,4.2,6.7,41
2015-01-03 01:00:00,0.0,12.8,11.7,82.0,80.0,0.0,742.1,742.2,741.9,3.9,5.9,47
2015-01-03 02:00:00,0.0,12.2,11.6,82.0,78.0,0.0,741.6,741.9,741.4,4.0,6.6,50
2015-01-03 03:00:00,0.0,12.2,11.4,82.0,78.0,0.0,741.2,741.4,741.1,3.5,5.5,50
2015-01-03 04:00:00,0.0,12.0,11.3,83.0,79.0,0.0,741.0,741.1,740.9,3.6,5.6,50
2015-01-03 05:00:00,0.0,11.7,11.2,85.0,82.0,0.0,741.1,741.3,740.9,4.0,6.9,45
2015-01-03 06:00:00,0.0,11.8,11.1,85.0,81.0,0.0,741.5,741.9,741.3,3.8,6.4,46
2015-01-03 07:00:00,19.0,12.0,11.4,83.0,80.0,0.0,742.3,742.8,741.9,3.8,7.3,48
2015-01-03 08:00:00,228.0,13.6,11.8,85.0,74.0,0.0,742.9,743.3,742.7,5.5,9.9,40
2015-01-03 09:00:00,264.0,14.7,12.7,77.0,67.0,0.0,743.0,743.2,742.9,6.1,11.7,41
2015-01-03 10:00:00,304.0,15.8,14.3,71.0,64.0,0.0,743.2,743.3,743.1,5.3,11.5,31
2015-01-03 11:00:00,600.0,17.5,15.8,66.0,57.0,0.0,742.9,743.1,742.8,7.0,13.5,30
2015-01-03 12:00:00,470.0,17.8,16.5,62.0,54.0,0.0,742.5,742.9,742.1,6.2,12.5,31
2015-01-03 13:00:00,783.0,19.8,17.4,62.0,48.0,0.0,741.8,742.2,741.5,5.2,12.3,42
2015-01-03 14:00:00,837.0,20.3,18.9,61.0,47.0,0.0,741.1,741.5,740.7,5.3,10.6,47
2015-01-03 15:00:00,449.0,19.5,18.0,58.0,49.0,0.0,740.5,740.8,740.4,4.1,10.1,59
2015-01-03 16:00:00,207.0,18.1,17.1,64.0,56.0,0.0,740.5,740.6,740.4,3.2,9.9,59
2015-01-03 17:00:00,122.0,17.4,15.1,77.0,61.0,0.0,740.7,740.8,740.5,3.7,9.3,88
2015-01-03 18:00:00,54.0,16.2,14.8,78.0,67.0,0.0,741.2,741.4,740.8,3.1,9.7,52
2015-01-03 19:00:00,7.0,14.8,14.1,78.0,74.0,0.0,741.5,741.7,741.4,3.6,7.2,41
2015-01-03 20:00:00,0.0,14.2,13.6,77.0,73.0,0.0,742.1,742.6,741.7,3.2,6.4,27
2015-01-03 21:00:00,0.0,13.6,13.2,77.0,74.0,0.0,742.9,743.1,742.5,3.4,5.8,44
2015-01-03 22:00:00,0.0,13.5,13.0,77.0,73.0,0.0,743.3,743.4,743.1,4.3,9.0,43
2015-01-03 23:00:00,0.0,13.4,12.3,84.0,74.0,0.0,743.5,743.6,743.4,4.2,8.3,39
2015-01-04 00:00:00,0.0,12.6,12.1,85.0,82.0,0.0,743.5,743.6,743.3,4.0,6.7,48
2015-01-04 01:00:00,0.0,12.3,11.7,89.0,84.0,0.0,743.0,743.3,742.7,3.8,6.2,51
2015-01-04 02:00:00,0.0,11.9,11.7,89.0,87.0,0.0,742.5,742.7,742.3,3.6,6.0,51
2015-01-04 03:00:00,0.0,11.9,11.7,89.0,87.0,0.0,742.2,742.3,742.2,3.8,6.4,51
2015-01-04 04:00:00,0.0,11.9,11.4,88.0,86.0,0.0,742.1,742.2,741.9,3.4,6.0,53
2015-01-04 05:00:00,0.0,11.7,11.3,88.0,86.0,0.0,742.1,742.2,742.0,3.0,5.6,59
2015-01-04 06:00:00,0.0,11.4,11.0,89.0,87.0,0.0,742.4,742.8,742.2,3.1,5.5,52
2015-01-04 07:00:00,21.0,11.7,11.5,87.0,85.0,0.0,742.9,743.2,742.8,3.5,6.3,58
2015-01-04 08:00:00,143.0,13.1,11.7,85.0,81.0,0.0,743.4,743.6,743.2,4.6,8.3,53
2015-01-04 09:00:00,282.0,14.5,13.1,81.0,73.0,0.0,743.6,743.7,743.6,6.1,10.9,31
