Date_time,RS,VEL,TMP,HUM
2017-02-01 00:00:00,0.0,0.79,12.45,84.88
2017-02-01 01:00:00,0.0,1.35,11.98,88.36
2017-02-01 02:00:00,0.0,0.58,11.79,87.61
2017-02-01 03:00:00,0.0,0.37,11.7,85.57
2017-02-01 04:00:00,0.0,0.56,11.8,84.69
2017-02-01 05:00:00,0.0,0.28,11.63,87.22
2017-02-01 06:00:00,15.58,0.56,11.81,84.5
2017-02-01 07:00:00,184.77,0.53,13.4,77.77
2017-02-01 08:00:00,259.93,0.41,13.9,73.92
2017-02-01 09:00:00,482.96,1.02,15.77,62.89
2017-02-01 10:00:00,608.28,1.65,17.13,53.35
2017-02-01 11:00:00,789.95,2.51,17.75,47.3
2017-02-01 12:00:00,975.22,2.79,18.63,46.45
2017-02-01 13:00:00,487.29,3.15,17.6,55.51
2017-02-01 14:00:00,415.15,2.36,17.4,57.18
2017-02-01 15:00:00,222.52,0.63,16.64,60.65
2017-02-01 16:00:00,148.51,2.37,15.62,67.5
2017-02-01 17:00:00,98.45,2.23,14.92,70.77
2017-02-01 18:00:00,11.39,1.37,14.59,72.65
2017-02-01 19:00:00,0.0,1.25,13.87,81.33
2017-02-01 20:00:00,0.0,2.35,13.26,83.44
2017-02-01 21:00:00,0.0,0.71,12.74,86.25
2017-02-01 22:00:00,0.0,0.75,13.04,83.98
2017-02-01 23:00:00,0.0,1.3,12.82,84.9
2017-02-02 00:00:00,0.0,2.4,11.92,90.98
2017-02-02 01:00:00,0.0,0.28,12.3,86.85
2017-02-02 02:00:00,0.0,0.97,12.28,83.82
2017-02-02 03:00:00,0.0,1.01,12.06,85.07
2017-02-02 04:00:00,0.0,0.36,12.14,84.71
2017-02-02 05:00:00,0.0,0.53,11.9,84.32
2017-02-02 06:00:00,11.96,0.25,11.58,85.92
2017-02-02 07:00:00,198.61,0.35,13.34,76.3
2017-02-02 08:00:00,499.26,1.01,16.11,63.46
2017-02-02 09:00:00,611.19,0.94,16.92,55.73
2017-02-02 10:00:00,905.8,1.36,17.47,55.76
2017-02-02 11:00:00,547.55,2.51,17.68,51.53
2017-02-02 12:00:00,446.81,1.56,17.69,52.45
2017-02-02 13:00:00,446.15,2.93,16.31,63.4
2017-02-02 14:00:00,203.41,2.22,15.29,70.85
2017-02-02 15:00:00,36.81,1.32,13.65,79.32
2017-02-02 16:00:00,74.64,2.28,13.56,79.9
2017-02-02 17:00:00,21.71,1.82,12.77,84.27
2017-02-02 18:00:00,0.0,1.26,12.59,86.83
2017-02-02 19:00:00,0.0,0.39,12.86,85.01
2017-02-02 20:00:00,0.0,1.23,12.56,88.79
2017-02-02 21:00:00,0.0,1.18,12.42,90.21
2017-02-02 22:00:00,0.0,1.22,11.88,91.96
2017-02-02 23:00:00,0.0,0.89,11.84,92.36
2017-02-03 00:00:00,0.0,0.77,12.02,90.27
2017-02-03 01:00:00,0.0,0.53,11.84,88.27
2017-02-03 02:00:00,0.0,0.82,11.72,87.55
2017-02-03 03:00:00,0.0,0.6,11.57,90.07
2017-02-03 04:00:00,0.0,0.69,11.25,90.19
2017-02-03 05:00:00,0.0,0.33,11.25,89.88
2017-02-03 06:00:00,12.54,1.4,10.95,90.0
2017-02-03 07:00:00,76.76,1.06,11.27,87.67
2017-02-03 08:00:00,475.14,0.71,14.08,72.53
2017-02-03 09:00:00,370.94,0.85,15.52,68.31
2017-02-03 10:00:00,375.4,1.65,14.45,76.16
2017-02-03 11:00:00,484.95,1.96,15.37,71.26
2017-02-03 12:00:00,447.53,2.3,15.43,71.86
2017-02-03 13:00:00,504.12,2.38,16.39,67.29
2017-02-03 14:00:00,380.82,2.8,16.34,68.52
2017-02-03 15:00:00,180.62,1.29,15.58,70.49
2017-02-03 16:00:00,117.32,1.64,14.79,72.38
2017-02-03 17:00:00,55.58,2.28,14.18,73.26
2017-02-03 18:00:00,0.0,0.91,14.06,74.73
2017-02-03 19:00:00,0.0,1.34,13.61,80.25
2017-02-03 20:00:00,0.0,1.17,12.91,84.41
2017-02-03 21:00:00,0.0,1.23,12.7,85.77
2017-02-03 22:00:00,0.0,0.44,12.77,86.22
2017-02-03 23:00:00,0.0,1.32,12.19,88.94
2017-02-04 00:00:00,0.0,0.4,11.88,89.95
2017-02-04 01:00:00,0.0,0.43,11.91,89.49
2017-02-04 02:00:00,0.0,1.4,11.54,89.7
2017-02-04 03:00:00,0.0,0.64,11.29,89.7
2017-02-04 04:00:00,0.0,0.33,11.03,90.09
2017-02-04 05:00:00,0.0,0.67,10.91,88.71
2017-02-04 06:00:00,14.86,0.66,10.74,87.76
