Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
18,50,50,1,24770.21213308422,121.0208345239778,157.38555249159378
18,50,50,2,25999.216877038565,123.35900225507382,161.24272658646828
18,50,50,3,25229.13874255026,122.65211789266577,158.8368305606425
18,50,100,1,24744.599500258668,121.63360406634567,157.30416237423174
18,50,100,2,24247.153612518003,119.45527780625902,155.71497555636068
18,50,100,3,26325.678603005537,128.1954477263431,162.25189861140467
18,50,150,1,25907.918942255965,124.44796845257727,160.9593704704885
18,50,150,2,25059.14201730425,123.14591403125725,158.30079600969873
18,50,150,3,27413.826963150943,127.29757803309084,165.57121417429704
18,75,50,1,26435.9892902316,127.82710528771565,162.59147975903164
18,75,50,2,26300.192250415043,127.32203369642428,162.17334013460734
18,75,50,3,25288.96524743673,122.10523173415028,159.02504597526996
18,75,100,1,26585.13904460933,125.57177818881738,163.04949875608122
18,75,100,2,24785.004483451066,120.9821792415391,157.43253946834201
18,75,100,3,26097.653038979413,125.21936526106627,161.54768038873047
18,75,150,1,24022.221836238612,118.442486431739,154.99103792232185
18,75,150,2,28406.67634079057,128.7944257483093,168.54280269649774
18,75,150,3,26577.752777800324,126.58581306796195,163.0268468007657
18,100,50,1,27313.278320439906,127.39291781228908,165.2672935593728
18,100,50,2,25528.34560769871,123.2014944677431,159.77592311640296
18,100,50,3,25470.100930291545,122.05203522060289,159.59354914999398
18,100,100,1,31708.850566139074,138.76644164676702,178.0697912789788
18,100,100,2,29837.759167287582,135.0427354505898,172.73609688564687
18,100,100,3,25912.03940734989,125.34306278229586,160.9721696671505
18,100,150,1,26686.712687414893,124.59425242943237,163.3606828077518
18,100,150,2,29853.524212778317,134.65193596130416,172.7817241862643
18,100,150,3,27539.96109794289,127.61819560085934,165.951683022327
20,50,50,1,25004.69783141378,122.00719578547093,158.12873815791292
20,50,50,2,25133.87474526938,122.8725504082938,158.5366668795247
20,50,50,3,27046.43783653888,127.73756265435368,164.45801238169844
20,50,100,1,24672.571364212123,121.17283824312294,157.0750501009378
20,50,100,2,27165.718352293752,127.60640014944495,164.8202607457401
20,50,100,3,25262.57433795009,124.23654129104689,158.94204710506938
20,50,150,1,24412.21707029489,120.93494346572294,156.24409451334438
20,50,150,2,25315.973363299203,123.84272496762634,159.10994112028072
20,50,150,3,25173.612377181948,124.96753313416201,158.66194369533594
20,75,50,1,26445.089283948015,125.44036876703095,162.61946157809038
20,75,50,2,28058.153923618003,128.67161338020426,167.5056832576674
20,75,50,3,27505.013271518674,129.8413298512809,165.84635441130044
20,75,100,1,25703.857265142622,123.85357373107432,160.32422544688194
20,75,100,2,26129.674312704337,123.6656154628067,161.6467578168654
20,75,100,3,25329.378912701617,123.83064675297484,159.1520622320101
