,Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
0,16,50,50,1,29256.277328404238,132.30228993370923,171.04466471774043
1,16,50,50,2,28110.581858296908,130.69526158277347,167.66210620857925
2,16,50,50,3,30341.518280068547,138.00376408648293,174.18816917365126
3,16,50,100,1,28123.112551938153,129.12674120588645,167.69947093517663
4,16,50,100,2,29439.50324865184,133.37052649540254,171.57943713817178
5,16,50,100,3,28420.057944290238,130.6247965847026,168.5824959605541
6,16,50,150,1,36181.88635261626,149.01041217127664,190.21536833972237
7,16,50,150,2,28320.952205325088,132.38736288171066,168.28830085696714
8,16,50,150,3,35922.929053780186,148.41872006572186,189.53345101532918
9,16,75,50,1,29685.114409169037,134.24579202303266,172.29368650408824
10,16,75,50,2,27781.58906107301,129.8054958538996,166.6781001243805
11,16,75,50,3,28399.090510083366,130.574850283171,168.52029702704468
12,16,75,100,1,28730.94489049693,132.4746588102008,169.50204981208023
13,16,75,100,2,28444.868207352985,133.33610026393902,168.65606484011474
14,16,75,100,3,37026.120298793234,151.1021054392046,192.42172512165365
15,16,75,150,1,28500.984570584336,131.42997495289325,168.8223461825606
16,16,75,150,2,29950.392070334106,134.91845016796503,173.0618157489806
17,16,75,150,3,28271.57782482779,130.0051359826508,168.1415410445253
18,16,100,50,1,28679.701732669615,132.05480753087602,169.35082442276334
19,16,100,50,2,29937.383283133935,135.74132901347576,173.02422744556304
20,16,100,50,3,28142.310019269935,128.51520510327452,167.7566988804618
21,16,100,100,1,31614.431734130314,137.01819071016814,177.80447613637378
22,16,100,100,2,32687.441197724533,140.40982532369134,180.7966846978244
23,16,100,100,3,28259.35861900939,130.1376288353241,168.1052010468724
24,16,100,150,1,27592.202169891603,130.67479538851498,166.1090068897277
25,16,100,150,2,34074.82178780104,144.37626101105496,184.5936667055537
26,16,100,150,3,29750.51394438925,134.92775493843735,172.48337295052312
27,18,50,50,1,27297.859515955664,128.2583409122885,165.220638892227
28,18,50,50,2,27428.75574512365,128.9870483409019,165.61629069968828
