,Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
0,16,50,50,1,23643.64720726542,122.3220849366348,153.76490889427737
1,16,50,50,2,23122.16778590952,118.23449461897448,152.0597507097441
2,16,50,50,3,23138.69175725018,115.57535335563344,152.11407481640276
3,16,50,100,1,24184.14720866085,119.74783128840448,155.51253071267553
4,16,50,100,2,22150.961599455466,115.05655612178103,148.83199118286186
5,16,50,100,3,23220.368330472742,118.38190982344587,152.38230976879416
6,16,50,150,1,23362.479465877343,120.14981280099241,152.84789650458833
7,16,50,150,2,23995.47880423943,121.9876589505348,154.90474106443426
8,16,50,150,3,25404.702201569107,120.85466689897947,159.38852594076246
9,16,75,50,1,22420.64146433861,115.82541679735955,149.73523788453608
10,16,75,50,2,22404.95749446899,114.90119990241598,149.6828563813137
11,16,75,50,3,23219.63394974987,115.43482992364106,152.37990008445954
12,16,75,100,1,22125.203625297705,116.348413505178,148.74543228381066
13,16,75,100,2,25533.066168644567,122.1793577237101,159.79069487502883
14,16,75,100,3,24173.880325107017,116.99659879777265,155.47951738125192
15,16,75,150,1,24585.380303153175,120.06502920794063,156.79725859578406
16,16,75,150,2,24065.599348936863,119.49788968960327,155.13091035940215
17,16,75,150,3,22749.369232845696,116.04645284603802,150.828940302734
18,16,100,50,1,23381.875971048707,119.50112494478093,152.91133369063493
19,16,100,50,2,25059.338666814583,124.04138728350576,158.3014171345746
20,16,100,50,3,26227.825215958204,128.11449264947714,161.9500701326128
21,16,100,100,1,22362.730116789695,117.21719624280459,149.54173369594756
22,16,100,100,2,24896.161807634144,126.5440552600507,157.78517613398967
23,16,100,100,3,23265.833279837072,120.38909530097915,152.53141735339992
24,16,100,150,1,23606.635783484267,118.34180971360065,153.64451107502757
25,16,100,150,2,25377.00374525533,119.46458051421938,159.30161250048704
26,16,100,150,3,26252.847192979476,123.63673931016488,162.02730385024455
27,18,50,50,1,23198.197523967727,115.75845660107409,152.3095450848952
28,18,50,50,2,22677.769360679333,118.2227835046821,150.59139869421273
29,18,50,50,3,24807.328132877377,122.47697678712987,157.5034226068671
30,18,50,100,1,22611.587959712106,117.95219887416825,150.37149982530633
31,18,50,100,2,22129.639917511882,116.33209381028126,148.76034390089276
32,18,50,100,3,24818.132246093206,124.22293870858053,157.53771690009097
33,18,50,150,1,23143.326580116343,120.44953705204333,152.12930874790808
34,18,50,150,2,22761.906005451052,115.92541171741108,150.8704941512788
35,18,50,150,3,23863.597151254144,120.24280896801253,154.47846824478208
36,18,75,50,1,22949.35896337791,114.97385000424894,151.49045832453578
37,18,75,50,2,23966.251642936266,118.38813237804669,154.81037317614175
38,18,75,50,3,23352.074289906424,119.72319399426577,152.81385503254089
39,18,75,100,1,22137.276353068737,114.33815847837877,148.7860085931091
40,18,75,100,2,23814.553486731413,119.40911193613007,154.31964711834786
41,18,75,100,3,25558.942977650164,123.83558649236505,159.87164532102045
42,18,75,150,1,22327.830377233156,115.28604468748975,149.42499917093244
43,18,75,150,2,22815.738412612704,117.85745771875494,151.04879480688584
44,18,75,150,3,23412.648725765663,120.03261172026984,153.0119234758052
45,18,100,50,1,23173.048425474346,119.06654225750769,152.2269635297057
46,18,100,50,2,24513.549900202786,120.37117426499077,156.56803601055609
47,18,100,50,3,26125.11574427844,125.55755615867645,161.6326568001604
48,18,100,100,1,22584.327166959873,117.42139017595133,150.28082767592102
49,18,100,100,2,22438.283891607334,115.32175808802042,149.7941383753294
50,18,100,100,3,23798.298012368345,118.9128474169946,154.26696993319194
51,18,100,150,1,27221.7672592107,130.43917192813436,164.99020352496902
52,18,100,150,2,23370.356528662876,120.88335446459503,152.87366198486538
53,18,100,150,3,22582.279383869532,113.943327172792,150.2740143333821
54,20,50,50,1,22778.220299368604,116.24923653395813,150.92455167854104
55,20,50,50,2,21554.555051477986,112.54131717145562,146.81469630618722
56,20,50,50,3,22265.58629958475,118.31218311347584,149.21657515029872
57,20,50,100,1,21339.816491752877,112.81165252572889,146.0815405578435
58,20,50,100,2,21836.17047191847,111.5156374907352,147.77066851008854
59,20,50,100,3,24291.636733421987,119.02802878910481,155.85774518265683
60,20,50,150,1,22269.050747695434,115.56032581867291,149.22818348990057
61,20,50,150,2,21645.269098268273,113.06076072466256,147.12331255877933
62,20,50,150,3,22213.659332596097,116.10535602697996,149.04247492777384
63,20,75,50,1,21107.135615469742,111.64114518124985,145.28295018848476
64,20,75,50,2,21762.313325245825,114.57367190000326,147.52055221305886
65,20,75,50,3,25179.10801128122,121.8953342333501,158.67926144043278
66,20,75,100,1,25308.595164723465,122.96653644418244,159.08675358031374
67,20,75,100,2,22129.602500076246,114.11628468420953,148.7602181366922
68,20,75,100,3,25541.669815255835,128.99507017169614,159.81761422088567
69,20,75,150,1,21506.59163436544,112.45732933286158,146.6512585502267
