Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE
18,50,50,1,165.00333820781373,128.96311175575204
18,50,50,2,169.12424701024327,129.22859120286287
18,50,100,1,172.38583781762262,134.206030370789
18,50,100,2,175.35404255134998,134.0693157159009
18,50,150,1,167.6340671462745,131.44456015281307
18,50,150,2,169.39661262792296,132.01142871131844
18,75,50,1,169.1819124215178,133.4854945051852
18,75,50,2,164.67132717463687,128.65170207136052
18,75,100,1,168.0233155363209,129.10725131676367
18,75,100,2,167.50809690920835,131.4890241159976
18,75,150,1,169.02426800126625,129.80505627633462
18,75,150,2,167.00751215767443,129.61264481193976
18,100,50,1,166.59278914674317,131.06185900387916
18,100,50,2,165.34645410878161,127.62351590816587
18,100,100,1,168.88827969737446,131.64070053470945
18,100,100,2,167.6551889222122,129.76649171932394
18,100,150,1,172.07936727200735,132.41704806937588
18,100,150,2,164.36929804410767,126.50763870112277
20,50,50,1,170.72665576411092,135.33270343144736
20,50,50,2,167.07089162518687,130.94593505859376
20,50,100,1,162.41402772061326,126.52679974767896
20,50,100,2,174.62438337313947,135.90666982332866
20,50,150,1,170.16983370805707,132.96963811384308
20,50,150,2,168.06627061956553,132.3004849910736
20,75,50,1,164.16154833534964,127.45680025948418
20,75,50,2,166.39143111442726,128.3641019821167
20,75,100,1,165.77258394365705,130.76598091125487
20,75,100,2,173.53909224344017,135.82952471309238
20,75,150,1,165.0236765162429,129.86491753790114
20,75,150,2,171.9312948686747,134.66485236750708
20,100,50,1,169.61191238607256,132.10760520564185
20,100,50,2,179.42898958655283,141.45244823561774
20,100,100,1,164.71725748341692,128.59194073677062
20,100,100,2,164.8666971710989,130.0123110877143
20,100,150,1,164.51049605933974,128.31519622272916
20,100,150,2,171.2016792522565,133.2225876649221
